Timestamp,Latitude,Longitude,Altitude (feet),Speed (mph),Heading (degrees)
2024-05-15 23:47:28,46.3435440,-113.3481064,5245.54,2.13,356.23
2024-05-15 23:47:29,46.3435440,-113.3481064,5245.51,0.00,176.25
2024-05-15 23:47:30,46.3435440,-113.3481064,5245.50,0.37,176.23
2024-05-15 23:47:31,46.3435402,-113.3481064,5245.65,2.35,176.70
2024-05-15 23:47:32,46.3435173,-113.3481064,5245.77,7.27,179.54
2024-05-15 23:47:33,46.3434639,-113.3481140,5245.56,11.11,181.11
2024-05-15 23:47:34,46.3433647,-113.3481140,5243.98,12.96,182.62
2024-05-15 23:47:35,46.3432884,-113.3481140,5243.83,13.91,183.20
2024-05-15 23:47:36,46.3432198,-113.3481140,5243.68,15.78,179.88
2024-05-15 23:47:37,46.3431435,-113.3481140,5243.84,18.66,177.67
2024-05-15 23:47:38,46.3430595,-113.3481064,5244.18,21.06,176.92
2024-05-15 23:47:39,46.3429680,-113.3480988,5244.38,22.76,176.64
2024-05-15 23:47:41,46.3428688,-113.3480911,5244.56,24.15,178.58
2024-05-15 23:47:42,46.3427658,-113.3480911,5244.65,26.77,180.35
2024-05-15 23:47:43,46.3426514,-113.3480911,5244.71,29.15,180.65
2024-05-15 23:47:44,46.3425293,-113.3480988,5244.67,31.65,180.57
2024-05-15 23:47:45,46.3423958,-113.3480988,5244.57,34.09,180.27
2024-05-15 23:47:46,46.3422546,-113.3480988,5244.26,35.96,180.03
2024-05-15 23:47:47,46.3421059,-113.3480988,5243.71,37.45,180.06
2024-05-15 23:47:48,46.3419495,-113.3480988,5242.98,38.48,179.82
2024-05-15 23:47:49,46.3417931,-113.3480988,5242.16,39.10,179.50
2024-05-15 23:47:50,46.3416328,-113.3480911,5241.44,40.17,179.57
2024-05-15 23:47:51,46.3414688,-113.3480911,5240.63,42.07,179.49
2024-05-15 23:47:52,46.3412971,-113.3480911,5239.94,43.22,179.44
2024-05-15 23:47:53,46.3411179,-113.3480911,5239.37,44.26,179.44
2024-05-15 23:47:54,46.3409386,-113.3480835,5238.69,45.24,179.70
2024-05-15 23:47:55,46.3407555,-113.3480835,5237.98,46.12,179.93
2024-05-15 23:47:56,46.3405685,-113.3480835,5237.49,46.59,179.75
2024-05-15 23:47:57,46.3403816,-113.3480835,5236.74,45.70,180.17
2024-05-15 23:47:58,46.3401985,-113.3480835,5236.24,44.85,179.86
2024-05-15 23:47:59,46.3400192,-113.3480835,5235.79,44.01,178.68
2024-05-15 23:48:00,46.3398437,-113.3480682,5235.22,43.20,175.63
2024-05-15 23:48:01,46.3396721,-113.3480377,5234.96,42.41,168.77
2024-05-15 23:48:02,46.3395119,-113.3479767,5234.59,41.66,162.18
2024-05-15 23:48:03,46.3391991,-113.3477859,5233.68,42.63,151.20
2024-05-15 23:48:04,46.3390541,-113.3476562,5233.04,43.22,145.41
2024-05-15 23:48:05,46.3389168,-113.3475037,5232.58,43.56,138.44
2024-05-15 23:48:06,46.3387909,-113.3473206,5232.10,43.82,131.39
2024-05-15 23:48:07,46.3386803,-113.3471222,5232.01,44.09,124.84
2024-05-15 23:48:08,46.3385887,-113.3469086,5231.92,44.28,118.44
2024-05-15 23:48:09,46.3385124,-113.3466721,5231.62,44.59,112.28
2024-05-15 23:48:10,46.3384514,-113.3464279,5230.78,44.78,106.65
2024-05-15 23:48:11,46.3384094,-113.3461761,5229.95,44.70,100.55
2024-05-15 23:48:12,46.3383827,-113.3459244,5228.85,44.60,94.29
2024-05-15 23:48:13,46.3383789,-113.3456573,5226.97,44.98,90.36
2024-05-15 23:48:14,46.3383789,-113.3453979,5224.91,45.54,89.36
2024-05-15 23:48:15,46.3383789,-113.3451309,5222.45,46.05,89.90
2024-05-15 23:48:16,46.3383789,-113.3448639,5219.85,46.55,89.33
2024-05-15 23:48:17,46.3383827,-113.3445892,5217.27,46.61,89.01
2024-05-15 23:48:18,46.3383865,-113.3443222,5214.49,46.66,89.55
2024-05-15 23:48:19,46.3383865,-113.3440475,5211.54,47.02,90.01
2024-05-15 23:48:20,46.3383865,-113.3437729,5208.63,47.42,90.27
2024-05-15 23:48:21,46.3383865,-113.3434982,5205.64,47.83,90.17
2024-05-15 23:48:22,46.3383865,-113.3432159,5202.65,48.24,89.69
2024-05-15 23:48:23,46.3383865,-113.3429337,5199.65,48.63,89.61
2024-05-15 23:48:24,46.3383904,-113.3426514,5196.91,48.98,89.72
2024-05-15 23:48:25,46.3383904,-113.3423615,5193.92,49.42,89.20
2024-05-15 23:48:26,46.3383942,-113.3420792,5191.09,49.83,89.52
2024-05-15 23:48:27,46.3383942,-113.3417816,5188.33,50.21,89.58
2024-05-15 23:48:28,46.3383980,-113.3414917,5185.56,50.53,89.23
2024-05-15 23:48:29,46.3383980,-113.3411942,5183.08,51.00,89.61
2024-05-15 23:48:30,46.3383980,-113.3408966,5180.81,51.31,90.04
2024-05-15 23:48:31,46.3383980,-113.3405991,5178.85,51.60,89.91
2024-05-15 23:48:32,46.3384018,-113.3403015,5177.19,51.78,89.35
2024-05-15 23:48:33,46.3384018,-113.3399963,5175.48,51.97,89.37
2024-05-15 23:48:34,46.3384056,-113.3396912,5173.78,52.16,89.16
2024-05-15 23:48:35,46.3384094,-113.3393936,5172.15,52.32,89.20
2024-05-15 23:48:36,46.3384094,-113.3390884,5170.38,52.51,89.40
2024-05-15 23:48:37,46.3384132,-113.3387833,5168.80,52.66,89.82
2024-05-15 23:48:38,46.3384132,-113.3384705,5167.11,52.76,89.91
2024-05-15 23:48:39,46.3384132,-113.3381653,5165.45,52.91,89.44
2024-05-15 23:48:40,46.3384171,-113.3378601,5163.61,53.07,89.36
2024-05-15 23:48:41,46.3384171,-113.3375473,5161.92,53.25,89.49
2024-05-15 23:48:42,46.3384209,-113.3372421,5159.99,53.50,89.48
2024-05-15 23:48:43,46.3384209,-113.3369293,5158.18,53.82,89.52
2024-05-15 23:48:44,46.3384247,-113.3366165,5156.43,54.10,89.69
2024-05-15 23:48:45,46.3384247,-113.3362961,5154.85,54.38,89.88
2024-05-15 23:48:46,46.3384247,-113.3359833,5153.35,54.62,89.91
2024-05-15 23:48:47,46.3384247,-113.3356628,5152.03,54.87,89.81
2024-05-15 23:48:48,46.3384247,-113.3353424,5150.52,55.11,89.59
2024-05-15 23:48:50,46.3384285,-113.3350220,5149.16,55.40,89.47
2024-05-15 23:48:50,46.3384323,-113.3347015,5147.69,55.66,89.22
2024-05-15 23:48:52,46.3384323,-113.3343735,5146.25,55.92,89.29
2024-05-15 23:48:53,46.3384361,-113.3340454,5144.84,56.16,89.57
2024-05-15 23:48:54,46.3384361,-113.3337250,5143.40,56.41,89.66
2024-05-15 23:48:55,46.3384399,-113.3333969,5141.98,56.64,89.64
2024-05-15 23:48:56,46.3384399,-113.3330612,5140.59,56.80,89.91
2024-05-15 23:48:57,46.3384399,-113.3327332,5139.45,56.92,89.78
2024-05-15 23:48:58,46.3384399,-113.3324051,5138.48,56.91,89.78
2024-05-15 23:48:59,46.3384438,-113.3320694,5137.73,56.68,89.71
2024-05-15 23:49:00,46.3384438,-113.3317413,5136.92,56.48,89.45
2024-05-15 23:49:01,46.3384476,-113.3314133,5136.32,56.27,89.37
2024-05-15 23:49:02,46.3384476,-113.3310852,5135.61,56.11,89.20
2024-05-15 23:49:03,46.3384514,-113.3307648,5134.86,56.09,89.54
2024-05-15 23:49:04,46.3384552,-113.3304367,5134.14,56.11,89.59
2024-05-15 23:49:05,46.3384552,-113.3301086,5133.50,56.07,89.46
2024-05-15 23:49:06,46.3384552,-113.3297882,5133.02,56.00,89.55
2024-05-15 23:49:07,46.3384590,-113.3294601,5132.31,56.04,89.64
2024-05-15 23:49:08,46.3384590,-113.3291321,5131.62,55.99,89.80
2024-05-15 23:49:09,46.3384590,-113.3288116,5130.89,55.92,89.95
2024-05-15 23:49:10,46.3384590,-113.3284836,5130.09,55.88,90.08
2024-05-15 23:49:11,46.3384590,-113.3281631,5129.43,55.75,89.82
2024-05-15 23:49:12,46.3384628,-113.3278351,5129.05,55.62,89.57
2024-05-15 23:49:13,46.3384628,-113.3271942,5128.25,55.20,89.63
2024-05-15 23:49:14,46.3384666,-113.3268738,5127.84,54.91,89.74
2024-05-15 23:49:15,46.3384666,-113.3265533,5127.42,54.66,89.43
2024-05-15 23:49:16,46.3384705,-113.3262329,5127.16,54.41,89.06
2024-05-15 23:49:17,46.3384743,-113.3259201,5126.75,54.19,89.05
2024-05-15 23:49:18,46.3384743,-113.3256073,5126.27,53.96,89.70
2024-05-15 23:49:19,46.3384743,-113.3252945,5125.73,53.79,89.93
2024-05-15 23:49:20,46.3384743,-113.3249817,5125.10,53.65,89.72
2024-05-15 23:49:21,46.3384781,-113.3246689,5124.76,53.77,89.69
2024-05-15 23:49:22,46.3384781,-113.3243561,5124.35,53.87,89.81
2024-05-15 23:49:23,46.3384781,-113.3240433,5124.07,54.04,89.87
2024-05-15 23:49:24,46.3384781,-113.3237305,5123.74,53.99,89.63
2024-05-15 23:49:25,46.3384819,-113.3234177,5123.31,53.95,89.47
2024-05-15 23:49:26,46.3384819,-113.3231049,5122.91,53.82,89.47
2024-05-15 23:49:27,46.3384857,-113.3227921,5122.60,53.70,89.53
2024-05-15 23:49:28,46.3384857,-113.3224792,5122.14,53.61,89.39
2024-05-15 23:49:29,46.3384895,-113.3221664,5121.50,53.56,89.76
2024-05-15 23:49:30,46.3384895,-113.3218536,5120.93,53.45,89.99
2024-05-15 23:49:31,46.3384895,-113.3215485,5120.40,53.38,89.72
2024-05-15 23:49:32,46.3384895,-113.3212357,5120.13,53.11,89.29
2024-05-15 23:49:33,46.3384933,-113.3209305,5119.59,51.69,89.29
2024-05-15 23:49:34,46.3384972,-113.3206329,5119.57,50.34,89.08
2024-05-15 23:49:35,46.3385010,-113.3203506,5119.44,49.31,89.41
2024-05-15 23:49:36,46.3385010,-113.3200607,5120.02,49.09,89.93
2024-05-15 23:49:37,46.3385010,-113.3197784,5120.24,49.21,90.25
2024-05-15 23:49:38,46.3384972,-113.3194885,5120.52,49.40,90.15
2024-05-15 23:49:39,46.3384972,-113.3192062,5120.75,49.39,89.83
2024-05-15 23:49:40,46.3385010,-113.3189163,5121.31,49.36,89.70
2024-05-15 23:49:41,46.3385010,-113.3186264,5121.61,49.34,89.71
2024-05-15 23:49:42,46.3385010,-113.3183441,5121.96,49.22,89.54
2024-05-15 23:49:43,46.3385010,-113.3180542,5122.22,49.07,89.75
2024-05-15 23:49:44,46.3385048,-113.3177719,5122.57,49.46,89.89
2024-05-15 23:49:45,46.3385048,-113.3174820,5122.80,49.92,89.60
2024-05-15 23:49:46,46.3385048,-113.3171921,5123.25,50.36,89.29
2024-05-15 23:49:47,46.3385086,-113.3168945,5123.58,50.70,89.37
2024-05-15 23:49:48,46.3385086,-113.3166046,5123.85,51.02,89.61
2024-05-15 23:49:49,46.3385124,-113.3163071,5124.09,51.34,89.77
2024-05-15 23:49:50,46.3385124,-113.3160019,5124.81,51.55,89.79
2024-05-15 23:49:51,46.3385124,-113.3157043,5125.94,51.65,89.70
2024-05-15 23:49:52,46.3385124,-113.3154068,5127.36,51.56,89.64
2024-05-15 23:49:53,46.3385162,-113.3151093,5128.83,51.19,89.54
2024-05-15 23:49:54,46.3385162,-113.3148117,5130.43,50.44,89.57
2024-05-15 23:49:55,46.3385162,-113.3145218,5131.99,49.79,89.57
2024-05-15 23:49:56,46.3385201,-113.3142319,5133.54,49.13,89.51
2024-05-15 23:49:57,46.3385201,-113.3139496,5134.90,47.84,89.46
2024-05-15 23:49:58,46.3385239,-113.3136749,5136.20,46.12,89.46
2024-05-15 23:50:00,46.3385239,-113.3134155,5137.47,44.21,89.56
2024-05-15 23:50:00,46.3385239,-113.3131638,5138.80,41.97,89.40
2024-05-15 23:50:02,46.3385277,-113.3129272,5140.12,39.53,89.60
2024-05-15 23:50:03,46.3385277,-113.3127060,5141.32,37.62,89.99
2024-05-15 23:50:04,46.3385277,-113.3124924,5142.38,35.26,89.43
2024-05-15 23:50:05,46.3385277,-113.3123016,5143.22,30.69,89.06
2024-05-15 23:50:06,46.3385315,-113.3121338,5143.89,25.62,88.64
2024-05-15 23:50:07,46.3385353,-113.3119965,5144.31,22.31,89.39
2024-05-15 23:50:08,46.3385315,-113.3118820,5144.49,18.24,90.65
2024-05-15 23:50:09,46.3385315,-113.3117828,5144.57,13.67,91.49
2024-05-15 23:50:10,46.3385315,-113.3117218,5144.57,8.29,93.33
2024-05-15 23:50:11,46.3385315,-113.3116913,5144.64,2.28,94.82
2024-05-15 23:50:12,46.3385315,-113.3116913,5144.83,0.28,94.98
2024-05-15 23:50:13,46.3385315,-113.3116837,5145.04,3.22,95.58
2024-05-15 23:50:14,46.3385277,-113.3116455,5144.89,8.59,99.59
2024-05-15 23:50:15,46.3385124,-113.3115768,5144.88,13.18,110.83
